Date,Open,High,Low,Close,Volume,Currency,Exchange
2021-01-04,72.56,72.56,70.54,71.03,24330,USD,NYSE
2021-01-05,71.15,71.83,71.11,71.66,8531,USD,NYSE
2021-01-06,71.57,73.52,71.57,72.99,9383,USD,NYSE
2021-01-07,73.36,74.08,73.36,74.06,88439,USD,NYSE
2021-01-08,74.07,74.37,73.71,74.18,10135,USD,NYSE
2021-01-11,73.7,74.4,73.7,74.12,12592,USD,NYSE
2021-01-12,74.61,74.75,74.33,74.75,33096,USD,NYSE
2021-01-13,75.08,75.08,74.44,74.49,5899,USD,NYSE
2021-01-14,75.27,75.27,74.56,74.61,9101,USD,NYSE
2021-01-15,74.0,74.24,73.48,73.96,22139,USD,NYSE
2021-01-19,74.31,74.49,74.19,74.45,20408,USD,NYSE
2021-01-20,75.15,75.15,74.67,75.05,8879,USD,NYSE
2021-01-21,75.28,75.28,74.56,74.67,11636,USD,NYSE
2021-01-22,74.41,74.47,74.02,74.46,7458,USD,NYSE
2021-01-25,74.32,74.55,73.67,74.24,12963,USD,NYSE
2021-01-26,74.77,74.77,73.7,73.7,31321,USD,NYSE
2021-01-27,72.84,72.91,71.75,71.81,46812,USD,NYSE
2021-01-28,72.05,73.37,72.05,72.85,43391,USD,NYSE
2021-01-29,72.63,72.63,71.23,71.79,16712,USD,NYSE
2021-02-01,72.04,72.74,71.92,72.51,21962,USD,NYSE
2021-02-02,73.37,73.98,73.3,73.78,40630,USD,NYSE
2021-02-03,73.74,74.02,73.65,73.76,25587,USD,NYSE
2021-02-04,74.18,74.76,74.18,74.76,17316,USD,NYSE
2021-02-05,75.28,75.38,75.12,75.35,15613,USD,NYSE
2021-02-08,75.82,76.14,75.79,76.14,10729,USD,NYSE
2021-02-09,76.4,76.4,75.95,76.23,33795,USD,NYSE
2021-02-10,76.33,76.74,76.1,76.31,235325,USD,NYSE
2021-02-11,76.88,76.88,75.96,76.59,67976,USD,NYSE
2021-02-12,76.57,77.04,76.57,77.01,12681,USD,NYSE
2021-02-16,77.42,77.42,76.94,77.01,16841,USD,NYSE
2021-02-17,76.34,76.79,76.17,76.71,12319,USD,NYSE
2021-02-18,76.6,76.6,75.92,76.36,13585,USD,NYSE
2021-02-19,76.94,77.21,76.9,77.02,44084,USD,NYSE
2021-02-22,76.8,76.93,76.47,76.47,11533,USD,NYSE
2021-02-23,75.42,76.66,75.42,76.53,9305,USD,NYSE
2021-02-24,76.36,77.58,76.36,77.46,12992,USD,NYSE
